Ticker
USDCHF=X
EURCAD=X
NZDUSD=X
AUDUSD=X
USDCAD=X
GBPUSD=X
EURUSD=X
EURJPY=X
AUDJPY=X
GBPJPY=X
USDJPY=X
XAUUSD=X
XAGUSD=X
AAPL
TSLA
GOOG
MSFT
NVDA
META
AMZN
NFLX
COIN
SPY
QQQ
DIA
IWM
