Ticker,Description,Change %,"Change 1W, %","Change 1M, %",3-Month Performance,6-Month Performance,YTD Performance,Yearly Performance,5Y Performance,All Time Performance,Volatility
AUDCAD=X,AUSTRALIAN DOLLAR / CANADIAN DOLLAR,0.4756776162268790,0.4756776162268790,0.6642763209657260,0.5941750626186280,-0.2694817487361180,0.7265447511078020,-0.11487458594962100,-6.435436690346860,-30.969631570834000,0.2423395338398980
AUDCHF=X,AUSTRALIAN DOLLAR / SWISS FRANC,1.406526591241450,1.406526591241450,1.0856013963212300,-0.7850150602409650,-7.146003277013340,-5.853876384423000,-6.14225673172817,-19.242733025850100,-70.09928429874290,0.6514409798281830
AUDEUR=X,AUSTRALIAN DOLLAR / EURO,0.36002149382051900,0.36002149382051900,-0.3964162548441120,-1.6257878750636500,-7.371466358075720,-6.079654027959370,-6.0292489853419700,-7.737526757780340,9.972522080471060,0.34553755259152900
AUDGBP=X,AUSTRALIAN DOLLAR / BRITISH POUND,-0.40665434380776000,-0.40665434380776000,-0.24890461399214000,0.5745100072591510,-3.938193343898580,-1.710718339549210,-5.401767425528180,-11.527093596059100,5.37157757496741,0.35690708037630200
AUDJPY=X,AUSTRALIAN DOLLAR / JAPANESE YEN,0.9614981336241260,0.9614981336241260,-0.5042520433574090,3.1108112738798900,1.2790171762750800,-0.9535467412771480,0.6891142946774090,26.99348474057660,-63.664528301886800,0.5733441944983940
AUDNZD=X,AUSTRALIAN DOLLAR / NEW ZEALAND DOLLAR,0.14451263570926800,0.14451263570926800,0.415451493974591,1.0969225229218100,-1.0098727036019000,-0.973165591903541,0.6860085521173410,0.9673373785064930,-19.798566662802000,0.28088602614892500
CADAUD=X,CANADIAN DOLLAR / AUSTRALIAN DOLLAR,-0.3837572512271280,-0.3837572512271280,-0.6143709375834660,-0.5169340463458130,0.377697841726617,-0.6055209260908210,0.1525347689546910,6.9771899559133600,12.327664284995500,0.17043415859347100
CADCHF=X,CANADIAN DOLLAR / SWISS FRANC,0.9955201592832300,0.9955201592832300,0.43697192114022500,-1.3612056392805100,-6.895678729093820,-6.442688375494890,-6.000287553716640,-13.627889908256900,-61.02728735004070,0.5756157551327140
CADEUR=X,CANADIAN DOLLAR / EURO,-0.04794630014385140,-0.04794630014385140,-1.0599588672678400,-2.2201375859912400,-7.058998365284600,-6.865227103499630,-5.983162958508730,-1.3253392237298900,1.6249593760156000,0.38504732873416800
CADGBP=X,CANADIAN DOLLAR / BRITISH POUND,-0.8611212898497490,-0.8611212898497490,-0.9699853587115610,-0.1291989664082550,-3.633125556544960,-2.4869345828077000,-5.45168617857767,-5.418633106100340,12.893803463384100,0.18487705675725700
CADJPY=X,CANADIAN DOLLAR / JAPANESE YEN,0.5959676287598830,0.5959676287598830,-1.1600970730989900,2.6345430595063100,1.665075027656710,-1.6105122527040100,0.8630232078197420,35.881914342402900,-41.65925218632270,0.6588305757280900
CADNZD=X,CANADIAN DOLLAR / NEW ZEALAND DOLLAR,-0.25308188423545600,-0.25308188423545600,-0.20419831740586000,0.5265756129669210,-0.6666666666666650,-1.5709336985418600,0.8085808580858110,7.990100760120210,-4.142476070924210,0.23784138440087800
CHFAUD=X,SWISS FRANC / AUSTRALIAN DOLLAR,-1.295862607338010,-1.295862607338010,-0.9504909128890740,0.9259259259259300,7.853284048905320,6.657818817799920,6.592480188838310,24.878190102452000,124.71563981042700,0.3746108795441410
CHFCAD=X,SWISS FRANC / CANADIAN DOLLAR,-0.9102579064068190,-0.9102579064068190,-0.3403755868544620,1.463822668339610,7.453809162237400,7.047402924861320,6.436853650893140,15.854823304680000,115.45293072824200,0.35920386291367300
CHFEUR=X,SWISS FRANC / EURO,-0.9601043997017130,-0.9601043997017130,-1.4012620638455700,-0.7843869642356860,-0.12220342169581500,-0.19725718579748200,0.07535085240650950,14.308768154922000,65.31818889061770,0.07530120481926880
CHFGBP=X,SWISS FRANC / BRITISH POUND,-1.773314816793080,-1.773314816793080,-1.3094343672856100,1.322314049586780,3.535637878617270,4.370034052213390,0.634781656999018,9.555582032646250,136.31457208943700,0.3480152256661210
CHFJPY=X,SWISS FRANC / JAPANESE YEN,-0.315873890486129,-0.315873890486129,-1.4795164612381800,4.128746217453000,9.220129470343170,5.3237725234313000,7.344612853953710,57.41311876496840,132.58910386965400,0.32935906725511800
CHFNZD=X,SWISS FRANC / NEW ZEALAND DOLLAR,-1.1705367339170100,-1.1705367339170100,-0.5649176560704730,1.9736842105263200,6.709823263460750,5.3298848826005400,7.2941419568137200,25.090339677186200,89.99268203439440,0.2795046021878580
